 ,u_v,d_v,L_m,L_p,s_p,c_p,b_p,g
 0, 0.68787709E-04, 0.26297233E-04, 0.46236506E-05, 0.10435102E-01,-0.20592124E-02,-0.15075505E-02,-0.12411310E-02, 0.25680787E-01
 1, 0.31881084E-03, 0.12165243E-03, 0.16904975E-04, 0.21539657E-01,-0.42952916E-02,-0.31979393E-02,-0.24951122E-02, 0.63021291E-01
 2, 0.14413162E-02, 0.54855963E-03, 0.54808516E-04, 0.40154760E-01,-0.78933971E-02,-0.57227645E-02,-0.41488389E-02, 0.13808998E+00
 3, 0.62901518E-02, 0.23848839E-02, 0.14595008E-03, 0.63765595E-01,-0.11784855E-01,-0.75595890E-02,-0.48420491E-02, 0.26410924E+00
 4, 0.25980068E-01, 0.97871818E-02, 0.27080030E-03, 0.76448049E-01,-0.11415904E-01,-0.35879137E-02,-0.11722755E-02, 0.41601489E+00
 5, 0.96749793E-01, 0.35934687E-01, 0.22633679E-03, 0.52612576E-01,-0.11773956E-02, 0.10916752E-01, 0.81195708E-02, 0.46178038E+00
 6, 0.25806514E+00, 0.88904849E-01, 0.16846038E-04, 0.14955690E-01, 0.34206919E-02, 0.10590770E-01, 0.61479978E-02, 0.19143098E+00
 7, 0.21104075E+00, 0.58186306E-01, 0.24082496E-06, 0.24052207E-02, 0.34999490E-03, 0.13014696E-02, 0.72794761E-03, 0.32621344E-01
 8, 0.88198972E-01, 0.17600895E-01, 0.28700082E-08, 0.17933559E-03, 0.19771056E-04, 0.84378248E-04, 0.52124973E-04, 0.44207095E-02
 9, 0.17027337E-01, 0.20530641E-02, 0.69649142E-10, 0.38483418E-05, 0.18384342E-06, 0.13298285E-05, 0.12157215E-05, 0.28886855E-03
10, 0.33897918E-03, 0.13675561E-04, 0.54075657E-12, 0.85197971E-08,-0.19161745E-08,-0.17018846E-08,-0.75124850E-10, 0.12434850E-05
